puerto;tipo;servicio
1;TCP;TCPMUX
5;TCP;RJE
7;TCP;Echo
9;TCP;Protocolo Discard
13;TCP;Daytime
17;TCP;Quote of the Day
18;TCP;MSP
20;TCP;FTP
21;TCP;FTP
22;TCP;SSH
23;TCP;Telnet
25;TCP;SMTP
29;TCP;MSG ICP
37;TCP;Time Protocol
39;TCP;RLP
42;TCP;Control de transmision
43;TCP;WHOIS
49;TCP;Login Host Protocol
53;UDP;DNS
67;UDP;BOOTP
68;UDP;BOOTP
69;UDP;TFTP
70;TCP;Gopher
79;TCP;Finger
80;TCP;HTTP
88;TCP;Kerberos
95;TCP;Telnet
109;TCP;POP2
110;TCP;POP3
115;TCP;SFTP
118;TCP;SQL Services
119;TCP;NNTP
123;UDP;NTP
137;UDP;NetBIOS
138;UDP;NetBIOS
139;TCP;NetBIOS
143;TCP;IMAP
161;UDP;SNMP
177;TCP;XDMCP
179;TCP;BGP
194;TCP;IRC
201;TCP;AppleTalk
202;TCP;AppleTalk
204;TCP;AppleTalk
206;TCP;AppleTalk
220;TCP;IMAP
389;TCP;LDAP
443;TCP;HTTPS
445;TCP;Active Directory
465;TCP;SMTP SSL
515;TCP;LPD LPR
520;UDP;RIP
546;TCP;DHCPv6
547;TCP;DHCPv6
563;TCP;NNTP SSL
587;TCP;SMTP TLS
631;TCP;CUPS
636;TCP;LDAP SSL
993;TCP;IMAP SSL
995;TCP;POP3 SSL
1080;TCP;SOCKS
1433;TCP;SQL-Server SQLSERVER
1434;TCP;Microsoft-SQL-Monitor
1512;TCP;WINS
3128;TCP;Squid
3306;TCP;MySQL
3389;TCP;RDP
3396;TCP;Novell
5000;TCP;UPNP
5400;TCP;VNC
5500;TCP;VNC
5600;TCP;VNC
5700;TCP;VNC
5800;TCP;VNC
5900;TCP;VNC
6000;TCP;X11
6129;TCP;Dameware
8000;TCP;Shoutcast
8080;TCP;Tomcat
9800;TCP;WebDAV
1000;TCP;Webmin
101;TCP;Nostname
591;TCP;HTTP
853;TCP;DNS TLS
990;TCP;FTPS
1194;TCP;OpenVPN
1723;TCP;VPN PPTP
1812;TCP;RADIUS
1813;TCP;RADIUS
2049;TCP;NFS
2082;TCP;CMS cPanel
2083;TCP;CMS cPanel
3074;TCP;Microsoft Xbox Live
4662;TCP;eMule
4672;UDP;eMule
4899;TCP;Radmin
6881;TCP;BitTorrent
6969;TCP;BitTorrent
51400;TCP;BitTorrent
25565;TCP;Minecraft
